epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.5593,2.0365,3.51838,1.59484,0.50378,0.69362,0.61388,0.30095,1.6812,2.26117,1.24612,0.0001125,0.0001125,0.0001125
2,51.5994,1.30498,1.21499,1.17639,0.93715,0.93737,0.97185,0.41918,2.00871,1.37327,1.50096,0.000231024,0.000231024,0.000231024
3,75.815,1.19295,0.80364,1.12283,0.94835,0.87921,0.95397,0.69557,1.02532,0.63999,1.01316,0.000348634,0.000348634,0.000348634
4,101.136,1.22427,0.72804,1.14142,0.96123,0.93368,0.96035,0.6353,1.20121,0.585,1.063,0.00046464,0.00046464,0.00046464
5,127.896,1.1554,0.65697,1.12881,0.88352,0.90794,0.9616,0.68783,1.02706,0.69824,1.05484,0.000578364,0.000578364,0.000578364
6,154.34,1.13607,0.64092,1.1234,0.91758,0.87622,0.93819,0.65714,1.08293,0.72027,1.05642,0.000609858,0.000609858,0.000609858
7,180.315,1.09381,0.61244,1.09652,0.97776,0.9705,0.98315,0.64978,1.23889,0.55077,1.14396,0.000603275,0.000603275,0.000603275
8,206.792,1.10168,0.59718,1.10319,0.94339,0.97006,0.9739,0.72776,0.93407,0.48998,1.03523,0.000595556,0.000595556,0.000595556
9,233.94,1.08303,0.5614,1.09486,0.97572,0.98665,0.98303,0.73064,0.96599,0.44489,1.04948,0.000586732,0.000586732,0.000586732
10,260.543,1.04616,0.54058,1.08836,0.97817,0.99301,0.98353,0.73189,1.01876,0.44952,1.06593,0.000576839,0.000576839,0.000576839
11,286.95,1.03522,0.52394,1.08412,0.98837,0.99301,0.98778,0.72462,1.05552,0.41725,1.09024,0.000565915,0.000565915,0.000565915
12,313.45,1.03273,0.51046,1.07686,0.98868,0.98379,0.98599,0.67148,1.21219,0.46477,1.19259,0.000554003,0.000554003,0.000554003
13,339.407,1.02084,0.5103,1.09353,0.98905,0.99301,0.98805,0.74793,0.95105,0.38629,1.04428,0.00054115,0.00054115,0.00054115
14,365.893,0.99882,0.50086,1.08915,0.98955,0.99301,0.98759,0.73605,0.97907,0.37779,1.06255,0.000527407,0.000527407,0.000527407
15,392.063,0.96616,0.47921,1.06989,0.98463,0.98963,0.98473,0.67133,1.20218,0.41915,1.14713,0.000512828,0.000512828,0.000512828
16,418.165,0.9587,0.46921,1.05528,0.98326,0.99301,0.98579,0.72799,1.03018,0.38847,1.10772,0.000497471,0.000497471,0.000497471
17,444.133,0.95075,0.46307,1.05973,0.98367,0.98958,0.98973,0.75077,0.96499,0.38979,1.08827,0.000481396,0.000481396,0.000481396
18,470.82,0.9405,0.46098,1.04546,0.986,0.99209,0.98414,0.74994,0.97342,0.38116,1.0947,0.000464668,0.000464668,0.000464668
19,496.985,0.95099,0.4556,1.0569,0.98334,0.98894,0.9846,0.76375,0.90636,0.36734,1.04595,0.00044735,0.00044735,0.00044735
20,523.526,0.94448,0.44153,1.04763,0.98798,0.99301,0.98541,0.76284,0.91878,0.36199,1.07094,0.000429514,0.000429514,0.000429514
21,549.732,0.93436,0.44891,1.05946,0.98773,0.99301,0.98547,0.76328,0.90659,0.35341,1.04817,0.000411227,0.000411227,0.000411227
22,575.765,0.92145,0.44137,1.03416,0.98501,0.99116,0.98566,0.75399,0.94961,0.35228,1.04885,0.000392563,0.000392563,0.000392563
23,602.092,0.9001,0.42696,1.02876,0.98939,0.99217,0.98678,0.74644,0.98323,0.34836,1.05474,0.000373596,0.000373596,0.000373596
24,628.447,0.89344,0.4126,1.02585,0.98581,0.99301,0.98578,0.74384,0.98488,0.34327,1.05948,0.0003544,0.0003544,0.0003544
